Phage Name,Latitude,Longitude,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
Skipitt,41.74481,-72.690621,06106,9436.0,Hartford County,,,168.72705479452054,5.6625570776255705,0.2178904109589068,30.0,7.2,32.0,2.6,31.0,21.0
Skippy,41.843333,-71.438611,02918,,,,,170.22454337899543,5.75115296803653,0.19347945205478892,50.0,12.0,54.0,4.4,53.0,35.0
Skog,26.460342,-81.780203,33965-6565,,Lee County,,,218.46917808219175,18.86872146118721,0.14701369863014613,18.0,4.3,19.0,1.5,19.0,12.0
Skysand,37.270833,-76.7161,23186,,,,,184.5970319634704,9.672374429223744,0.1367123287671037,56.0,14.4,65.0,5.0,58.0,39.0
Slarp,38.645145,-90.314564,63143,4910.0,Saint Louis County,7.788949955518204,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,34.0,8.1,36.0,2.9,36.0,23.0
Slatt,,,,,,,,183.91632420091324,7.457762557077626,0.1584657534246516,45.0,10.8,48.0,3.9,47.0,31.0
Sleepyhead,44.893,-68.655,04473,427.0,Penobscot County,,,158.55593607305937,3.4551369863013703,0.3524383561643947,25.0,6.0,27.0,2.2,26.0,17.0
Slentz,35.31027800000001,-83.18722,28788,,Jackson County,,,190.76586757990867,7.947031963470319,0.13506849315066227,38.0,9.1,41.0,3.3,40.0,26.0
SmallFry,41.83,-71.3982,02912,31555.0,,,,170.63869863013701,6.036872146118723,0.19268493150680133,50.0,12.0,54.0,4.4,53.0,35.0
Smarties,40.4443,-79.9532,15260,,Allegheny County,7.73660727886649,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Smeadley,33.655766,-84.005616,30012,636.0,Rockdale County,,,199.36050228310506,10.815525114155252,0.1382191780821821,34.0,8.1,36.0,2.9,36.0,23.0
Smeagan,42.3,-83.5,48188,2275.0,Wayne County,,,166.01164383561644,4.6719178082191775,0.32432876712329084,33.0,7.9,35.0,2.9,34.0,23.0
Smeagol,40.444259,-79.953213,15260,,Allegheny County,7.759833335277246,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
SmokingBunny,40.44558,-79.95310699999997,15260,,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Smooch,40.441944,-79.956389,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Smoothie,40.447148,-79.95863299999998,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Smurph,42.9425,-71.457778,03103,3734.0,Hillsborough County,,,166.2398401826484,4.578310502283105,0.22915068493152324,32.0,7.6,34.0,2.8,33.0,22.0
SnapTap,27.462829,-80.304171,34949,754.0,St. Lucie County,,,216.27945205479446,19.326598173515986,0.061205479452052874,13.0,3.1,14.0,1.1,13.0,9.0
Snape,41.33427800000001,-72.945667,06515,3759.0,New Haven County,,,171.77636986301368,6.426255707762557,0.1953424657534197,42.0,10.0,45.0,3.6,44.0,29.0
Snazzy,47.684415,-114.146202,59860,41.0,Lake County,,,156.16689497716894,0.14223744292237442,0.28386301369857203,26.0,6.2,28.0,2.2,27.0,18.0
Snekmaggedon,,,,,,,,186.02214611872142,-2.0170662100456624,0.2716712328767645,31.0,7.4,33.0,2.7,32.0,21.0
SoilAssassin,40.446343,-79.963773,15213,14474.0,Allegheny County,,,166.06221461187215,6.1813470319634725,0.20728767123284966,38.0,9.1,41.0,3.3,40.0,26.0
SoilDragon,47.075891,-122.973527,98505,,Thurston County,,,,,,,,,,,
Solid,34.065,-118.4425,,,Los Angeles County,7.831126444767905,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,42.0,10.0,45.0,3.6,44.0,29.0
Solon,41.82191,-91.469561,52333,72.0,Johnson County,,,171.71826484018266,3.739360730593606,0.2887945205479765,32.0,7.6,34.0,2.8,33.0,22.0
Solosis,41.816915,-71.38845,02906,8758.0,,,,170.63869863013701,6.036872146118723,0.19268493150680133,38.0,9.1,41.0,3.3,40.0,26.0
Sombrero,32.531220000000005,-92.65086,71272,11587.0,Lincoln Parish,,,200.7603881278539,13.466438356164383,0.13424657534245055,22.0,5.2,23.0,1.9,23.0,15.0
SonOfLevi,,,,,,,,177.19029680365296,2.8558219178082203,0.3046301369863335,33.0,7.9,35.0,2.9,34.0,23.0
Sonali,30.0783,-94.1621,77707,1156.0,Jefferson County,,,198.51495433789955,15.965068493150685,0.15986301369864353,55.0,14.0,63.0,4.9,57.0,39.0
Sonny,40.446667,-79.954722,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sophia,40.431436,-86.91279399999998,47906,494.0,Tippecanoe County,,,175.96164383561646,6.2311643835616435,0.23616438356167585,1.0,0.2,1.0,0.0,1.0,0.0
SorJuana,40.209448,-75.559227,19468,1558.0,Montgomery County,,,174.57328767123292,6.7663242009132425,0.21750684931511136,58.0,15.4,69.0,5.2,60.0,41.0
Soshari,39.33397100000001,-76.62231,21211,6225.0,,,,177.81438356164384,7.5454337899543376,0.1645479452054667,34.0,8.1,36.0,2.9,36.0,23.0
